"true_match_num","version_a","version_b","unigrams_bill_in_law","bigrams_bill_in_law","trigrams_bill_in_law","fourgrams_bill_in_law","tengrams_bill_in_law","twentygrams_bill_in_law","wdiff_bill_in_law","sw1","sw5","sw10","sw15","sw20","true_match_num2"
4,"111-HR-89-IH","111-HR-146-ENR",1,0.98,0.95,0.94,0.93,0.93,0.19,0.951,0.947,0.947,0.947,0.947,1
4,"111-HR-922-IH","111-HR-146-ENR",1,0.98,0.95,0.94,0.9,0.85,0.18,0.951,0.951,0.936,0.936,0.936,1
4,"111-S-159-IS","111-HR-146-ENR",1,0.98,0.97,0.96,0.91,0.86,0.13,0.988,0.988,0.981,0.981,0.981,1
4,"111-S-173-IS","111-HR-146-ENR",1,0.98,0.97,0.96,0.91,0.85,0.13,0.995,0.985,0.985,0.985,0.977,1
4,"111-S-174-IS","111-HR-146-ENR",1,0.98,0.96,0.94,0.86,0.76,0.1,0.996,0.996,0.996,0.996,0.996,1
3,"111-S-186-IS","111-HR-146-ENR",1,0.98,0.97,0.95,0.88,0.79,0.1,0.99,0.99,0.99,0.99,0.99,1
4,"111-HR-1109-IH","111-HR-146-ENR",1,0.97,0.95,0.94,0.92,0.88,0.15,0.956,0.956,0.956,0.956,0.956,1
4,"111-HR-234-IH","111-HR-146-ENR",1,0.97,0.95,0.94,0.94,0.94,0.21,0.956,0.956,0.956,0.956,0.956,1
4,"111-HR-307-IH","111-HR-146-ENR",1,0.97,0.95,0.94,0.88,0.82,0.92,0.911,0.911,0.911,0.911,0.911,1
4,"111-HR-368-IH","111-HR-146-ENR",1,0.97,0.96,0.95,0.92,0.87,0.17,0.973,0.973,0.973,0.973,0.973,1
4,"111-HR-397-IH","111-HR-146-ENR",1,0.97,0.96,0.95,0.93,0.92,0.26,0.958,0.933,0.933,0.933,0.933,1
4,"111-HR-548-IH","111-HR-146-ENR",1,0.97,0.95,0.94,0.91,0.87,0.14,0.886,0.886,0.886,0.886,0.886,1
4,"111-HR-551-IH","111-HR-146-ENR",1,0.97,0.92,0.89,0.81,0.75,0.18,0.922,0.922,0.922,0.922,0.922,1
4,"111-HR-75-IH","111-HR-146-ENR",1,0.97,0.95,0.94,0.88,0.79,0.12,0.986,0.986,0.986,0.986,0.986,1
4,"111-S-184-IS","111-HR-146-ENR",1,0.97,0.93,0.92,0.88,0.83,0.13,0.945,0.931,0.931,0.931,0.931,1
4,"111-S-187-IS","111-HR-146-ENR",1,0.97,0.96,0.95,0.94,0.94,0.2,0.961,0.949,0.949,0.949,0.949,1
4,"111-S-217-IS","111-HR-146-ENR",1,0.97,0.96,0.94,0.87,0.77,0.1,0.974,0.974,0.974,0.974,0.974,1
4,"111-HR-102-IH","111-HR-146-ENR",1,0.96,0.92,0.88,0.79,0.75,0.36,0.938,0.938,0.808,0.808,0.808,1
4,"111-HR-14-IH","111-HR-146-ENR",1,0.96,0.94,0.91,0.8,0.66,0.12,0.998,0.998,0.87,0.726,0.726,1
4,"111-HR-1559-IH","111-HR-146-ENR",1,0.96,0.93,0.92,0.89,0.85,0.21,0.957,0.957,0.957,0.957,0.957,1
4,"111-HR-352-IH","111-HR-146-ENR",1,0.96,0.91,0.88,0.83,0.8,0.26,0.954,0.876,0.85,0.85,0.85,1
4,"111-HR-376-IH","111-HR-146-ENR",1,0.96,0.93,0.91,0.85,0.8,0.19,0.953,0.933,0.933,0.933,0.933,1
4,"111-HR-408-IH","111-HR-146-ENR",1,0.96,0.92,0.91,0.87,0.83,0.23,0.946,0.946,0.928,0.928,0.928,1
4,"111-HR-604-IH","111-HR-146-ENR",1,0.96,0.92,0.91,0.88,0.85,0.18,0.937,0.937,0.937,0.773,0.773,1
3,"111-HR-925-IH","111-HR-146-ENR",0.99,0.96,0.94,0.93,0.86,0.77,0.09,0.98,0.931,0.931,0.412,0.412,1
4,"111-S-192-IS","111-HR-146-ENR",1,0.96,0.93,0.91,0.85,0.8,0.19,0.953,0.933,0.933,0.933,0.933,1
4,"111-S-219-IS","111-HR-146-ENR",1,0.96,0.94,0.9,0.83,0.76,0.22,0.968,0.936,0.936,0.936,0.936,1
4,"111-HR-337-IH","111-HR-146-ENR",1,0.95,0.92,0.89,0.78,0.66,0.22,0.968,0.936,0.936,0.936,0.936,1
4,"111-HR-338-IH","111-HR-146-ENR",1,0.95,0.9,0.89,0.9,0.89,0.15,0.924,0.924,0.924,0.924,0.924,1
4,"111-HR-437-IH","111-HR-146-ENR",1,0.95,0.93,0.91,0.87,0.81,0.17,0.943,0.943,0.943,0.943,0.943,1
4,"111-HR-763-IH","111-HR-146-ENR",1,0.95,0.92,0.9,0.79,0.64,0.14,0.945,0.945,0.945,0.945,0.945,1
4,"111-HR-920-IH","111-HR-146-ENR",1,0.95,0.92,0.89,0.8,0.69,0.21,0.942,0.888,0.888,0.795,0.795,1
4,"111-HR-285-IH","111-HR-146-ENR",1,0.94,0.91,0.9,0.88,0.87,0.18,0.929,0.929,0.9,0.9,0.9,1
4,"111-HR-438-IH","111-HR-146-ENR",1,0.94,0.91,0.89,0.88,0.88,0.2,0.945,0.89,0.89,0.89,0.89,1
4,"111-HR-602-IH","111-HR-146-ENR",1,0.94,0.92,0.91,0.91,0.91,0.19,0.932,0.932,0.932,0.932,0.932,1
1,"111-HR-1297-IH","111-HR-146-ENR",0.99,0.93,0.86,0.8,0.52,0.29,0.12,0.99,0.889,0.889,0.889,0.889,0
4,"111-HR-1435-IH","111-HR-146-ENR",0.99,0.93,0.88,0.88,0.89,0.92,0.22,0.956,0.956,0.956,0.956,0.956,1
4,"111-HR-286-IH","111-HR-146-ENR",0.99,0.93,0.87,0.83,0.69,0.57,0.19,0.916,0.916,0.916,0.846,0.846,1
4,"111-HR-567-IH","111-HR-146-ENR",1,0.93,0.89,0.89,0.83,0.77,0.27,0.934,0.904,0.904,0.904,0.904,1
4,"111-HR-923-IH","111-HR-146-ENR",1,0.93,0.91,0.89,0.87,0.86,0.22,0.881,0.881,0.881,0.881,0.881,1
4,"111-S-152-IS","111-HR-146-ENR",1,0.93,0.89,0.87,0.86,0.85,0.3,0.873,0.873,0.873,0.873,0.873,1
4,"111-S-189-IS","111-HR-146-ENR",0.99,0.93,0.88,0.88,0.89,0.92,0.22,0.956,0.956,0.956,0.956,0.956,1
4,"111-S-215-IS","111-HR-146-ENR",1,0.93,0.84,0.82,0.79,0.73,0.13,0.93,0.74,0.74,0.74,0.74,1
1,"111-S-359-IS","111-HR-146-ENR",0.99,0.93,0.86,0.8,0.52,0.29,0.12,0.99,0.889,0.889,0.889,0.889,0
4,"111-HR-165-IH","111-HR-146-ENR",0.98,0.92,0.88,0.85,0.75,0.65,0.26,0.903,0.903,0.903,0.903,0.769,1
3,"111-HR-348-IH","111-HR-146-ENR",1,0.92,0.79,0.71,0.33,0.08,0.29,0.752,0.664,0.593,0.327,0.327,1
4,"111-HR-410-IH","111-HR-146-ENR",1,0.92,0.89,0.88,0.81,0.74,0.16,0.776,0.776,0.776,0.776,0.776,1
1,"111-HR-6039-IH","111-HR-146-ENR",0.96,0.92,0.89,0.86,0.75,0.62,0.1,0.964,0.815,0.815,0.815,0.815,0
4,"111-S-188-IS","111-HR-146-ENR",1,0.92,0.89,0.87,0.79,0.7,0.16,0.93,0.904,0.904,0.904,0.875,1
3,"111-S-196-IS","111-HR-146-ENR",1,0.92,0.89,0.88,0.85,0.84,0.25,0.878,0.856,0.856,0.856,0.856,1
4,"111-S-3682-IS","111-HR-146-ENR",0.96,0.92,0.89,0.86,0.75,0.62,0.1,0.964,0.815,0.815,0.815,0.815,1
4,"111-HR-480-IH","111-HR-146-ENR",0.98,0.91,0.88,0.86,0.81,0.76,0.11,0.866,0.864,0.864,0.864,0.864,1
1,"111-HR-5144-IH","111-HR-146-ENR",0.99,0.91,0.88,0.85,0.73,0.59,0.14,0.983,0.694,0.694,0.694,0.694,0
4,"111-HR-608-IH","111-HR-146-ENR",1,0.91,0.85,0.83,0.76,0.64,0.93,0.895,0.895,0.895,0.895,0.895,1
4,"111-HR-924-IH","111-HR-146-ENR",0.99,0.91,0.85,0.81,0.67,0.5,0.09,0.967,0.958,0.836,0.836,0.447,1
1,"111-S-3261-IS","111-HR-146-ENR",0.99,0.91,0.88,0.85,0.73,0.59,0.14,0.983,0.694,0.694,0.694,0.694,0
4,"111-HR-284-IH","111-HR-146-ENR",1,0.9,0.82,0.79,0.63,0.51,0.41,0.798,0.777,0.777,0.777,0.777,1
4,"111-HR-172-IH","111-HR-146-ENR",1,0.89,0.82,0.78,0.57,0.36,0.18,0.953,0.83,0.5,0.5,0.5,1
1,"111-HR-2167-IH","111-HR-146-ENR",0.99,0.89,0.82,0.78,0.61,0.53,0.13,0.819,0.801,0.579,0.579,0.579,0
4,"111-HR-283-IH","111-HR-146-ENR",1,0.88,0.81,0.76,0.62,0.53,0.42,0.794,0.794,0.683,0.683,0.683,1
4,"111-HR-407-IH","111-HR-146-ENR",1,0.88,0.85,0.81,0.78,0.73,0.37,0.969,0.922,0.922,0.922,0.922,1
4,"111-HR-454-IH","111-HR-146-ENR",1,0.88,0.81,0.8,0.79,0.77,0.21,0.803,0.803,0.803,0.803,0.803,1
4,"111-HR-88-IH","111-HR-146-ENR",1,0.88,0.83,0.79,0.69,0.66,0.23,0.719,0.711,0.711,0.711,0.711,1
4,"111-S-153-IS","111-HR-146-ENR",1,0.88,0.83,0.8,0.75,0.71,0.46,0.785,0.785,0.785,0.785,0.785,1
2,"111-HR-921-IH","111-HR-146-ENR",1,0.87,0.7,0.54,0.08,0.01,0.2,0.84,0.087,0.087,0.087,0.087,0
1,"111-HR-5965-IH","111-HR-146-ENR",1,0.86,0.59,0.4,0.01,0,0.45,0.356,0.208,0.208,0.208,0.208,0
